"","evolution.generation","evolution.evaluated","tpsAuChamp","qPrésenceBrousse","fréquenceRéu","probaDenonce","probaDiscu","nbProTGMax","objective.om_stockMil","objective.om_charette","evolution.samples","qPrésenceBrousse.1","om_underTrees","tpsAuChamp.1","participants","fréquenceRéu.1","nombreBergers","probaDiscu.1","om_nbCoupe","probaDenonce.1","mySeed","om_delatMil","SPop","om_charette","om_stockMil","nbSurveillants","nbProTGMax.1","om_trees","coordinationRNA","engagésInitiaux","nbChampsVisités","om_delatArbres","SReprez","nbCoupeurs","om_caughtCutter"
"251",33200,33200,40.0138018226162,0.549314858661621,1.80910061424468,27.1589395602588,74.4678927833794,13.2567990242113,45709.2679999974,38,5,"[0.5493148586616211,0.5493148586616211,0.5493148586616211,0.5493148586616211,0.5493148586616211]","[60.589999999999996,66.74,47.05,51.67,63.01]","[40.01380182261619,40.01380182261619,40.01380182261619,40.01380182261619,40.01380182261619]","[10.0,10.0,10.0,10.0,10.0]","[1.8091006142446768,1.8091006142446768,1.8091006142446768,1.8091006142446768,1.8091006142446768]","[5.0,5.0,5.0,5.0,5.0]","[74.46789278337941,74.46789278337941,74.46789278337941,74.46789278337941,74.46789278337941]","[665.0,634.0,529.0,646.0,691.0]","[27.158939560258755,27.158939560258755,27.158939560258755,27.158939560258755,27.158939560258755]","[285996255,65934441,812467502,1318648091,-1142311507]","[3711.36619999884,3785.2967999988323,982.3817999997336,1318.8567999995284,3222.8357999988657]","[true,true,true,true,true]","[43.0,38.0,40.0,52.0,40.0]","[48509.49119999645,49167.04159999644,45709.26799999743,46297.457599997186,48303.1615999966]","[1.0,1.0,1.0,1.0,1.0]","[13.256799024211313,13.256799024211313,13.256799024211313,13.256799024211313,13.256799024211313]","[1172.0,1278.0,692.0,811.0,1119.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[91.0,90.0,91.0,94.0,90.0]","[637.0,743.0,157.0,276.0,584.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[210.0,211.0,210.0,209.0,205.0]"
"328",33200,33200,31.7343902102668,0.758043103110988,10,100,74.4694979905541,45.3514268889756,52644.8471999939,23,5,"[0.7580431031109878,0.7580431031109878,0.7580431031109878,0.7580431031109878,0.7580431031109878]","[91.78,91.95,93.15,92.15,92.97]","[31.734390210266827,31.734390210266827,31.734390210266827,31.734390210266827,31.734390210266827]","[10.0,10.0,10.0,10.0,10.0]","[10.0,10.0,10.0,10.0,10.0]","[5.0,5.0,5.0,5.0,5.0]","[74.46949799055413,74.46949799055413,74.46949799055413,74.46949799055413,74.46949799055413]","[193.0,210.0,204.0,160.0,233.0]","[100.0,100.0,100.0,100.0,100.0]","[2004092592,916463672,1665268450,-2122199505,-834175179]","[7886.285399996479,7753.7611999963265,7910.19859999606,8420.513799996173,7424.42259999628]","[true,true,true,true,true]","[41.0,32.0,23.0,38.0,32.0]","[52919.03519999404,52801.09679999399,52838.65679999378,53395.546399993866,52644.84719999393]","[1.0,1.0,1.0,1.0,1.0]","[45.35142688897561,45.35142688897561,45.35142688897561,45.35142688897561,45.35142688897561]","[5278.0,5122.0,5274.0,5099.0,5049.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[90.0,93.0,94.0,95.0,90.0]","[4743.0,4587.0,4739.0,4564.0,4514.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[244.0,241.0,247.0,247.0,245.0]"
"411",33200,33200,100,0.17332484980359,10,99.871195153703,23.7737520626462,8.01414795234253,47898.7655999962,40,5,"[0.1733248498035897,0.1733248498035897,0.1733248498035897,0.1733248498035897,0.1733248498035897]","[66.86,69.21000000000001,66.57,69.89999999999999,68.75]","[100.0,100.0,100.0,100.0,100.0]","[10.0,10.0,10.0,10.0,10.0]","[10.0,10.0,10.0,10.0,10.0]","[5.0,5.0,5.0,5.0,5.0]","[23.773752062646206,23.773752062646206,23.773752062646206,23.773752062646206,23.773752062646206]","[167.0,157.0,226.0,147.0,193.0]","[99.87119515370304,99.87119515370304,99.87119515370304,99.87119515370304,99.87119515370304]","[1539047823,-674789873,-909890924,204909097,-435932415]","[3273.040999998484,4398.901999998372,4044.5859999984023,4341.059599998262,3807.144199998387]","[true,true,true,true,true]","[48.0,41.0,47.0,40.0,41.0]","[47898.7655999962,49014.29759999596,49215.36879999615,49348.58159999584,49030.823999995984]","[1.0,1.0,1.0,1.0,1.0]","[8.014147952342531,8.014147952342531,8.014147952342531,8.014147952342531,8.014147952342531]","[1351.0,1442.0,1243.0,1500.0,1387.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[88.0,88.0,90.0,92.0,87.0]","[816.0,907.0,708.0,965.0,852.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[245.0,249.0,243.0,245.0,242.0]"
"432",33200,33200,48.8575442007707,0.601377302251764,6.96171457639718,8.98105939321953,77.4425625007964,50,45073.5023999976,34,5,"[0.6013773022517636,0.6013773022517636,0.6013773022517636,0.6013773022517636,0.6013773022517636]","[43.15,74.67,74.58,40.699999999999996,80.75]","[48.85754420077074,48.85754420077074,48.85754420077074,48.85754420077074,48.85754420077074]","[10.0,10.0,10.0,10.0,10.0]","[6.961714576397175,6.961714576397175,6.961714576397175,6.961714576397175,6.961714576397175]","[5.0,5.0,5.0,5.0,5.0]","[77.44256250079644,77.44256250079644,77.44256250079644,77.44256250079644,77.44256250079644]","[2641.0,2199.0,1164.0,1827.0,1048.0]","[8.981059393219526,8.981059393219526,8.981059393219526,8.981059393219526,8.981059393219526]","[-1164146095,1551319358,706918309,1521829025,-727743136]","[329.77679999978136,4983.773799997667,5526.453199997508,341.7959999998784,5817.480599997172]","[true,true,true,true,true]","[48.0,34.0,35.0,51.0,38.0]","[45670.205599997484,50096.02559999525,51170.24159999517,45073.50239999761,50607.0919999949]","[1.0,1.0,1.0,1.0,1.0]","[50.0,50.0,50.0,50.0,50.0]","[480.0,1806.0,1853.0,481.0,2254.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[93.0,93.0,95.0,89.0,91.0]","[-55.0,1271.0,1318.0,-54.0,1719.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[183.0,202.0,167.0,203.0,189.0]"
"461",33200,33200,13.1182984202173,0.281597858375046,9.75355024454698,54.610298225039,29.147310470684,31.3951675039613,43632.9511999976,35,5,"[0.2815978583750461,0.2815978583750461,0.2815978583750461,0.2815978583750461,0.2815978583750461]","[38.23,42.86,53.559999999999995,53.790000000000006,54.31]","[13.11829842021727,13.11829842021727,13.11829842021727,13.11829842021727,13.11829842021727]","[10.0,10.0,10.0,10.0,10.0]","[9.753550244546982,9.753550244546982,9.753550244546982,9.753550244546982,9.753550244546982]","[5.0,5.0,5.0,5.0,5.0]","[29.147310470684,29.147310470684,29.147310470684,29.147310470684,29.147310470684]","[1664.0,1544.0,1371.0,1427.0,1325.0]","[54.61029822503899,54.61029822503899,54.61029822503899,54.61029822503899,54.61029822503899]","[1096838041,-1151832081,2130908116,-1009811540,-594765542]","[-1032.5243999999002,-415.35100000024977,1254.1283999992738,2930.9945999989795,2041.761599998892]","[true,true,true,true,true]","[45.0,50.0,43.0,39.0,35.0]","[43632.95119999757,45196.699199997565,46592.428799997,47976.389599996684,46917.698399996705]","[1.0,1.0,1.0,1.0,1.0]","[31.395167503961268,31.395167503961268,31.395167503961268,31.395167503961268,31.395167503961268]","[370.0,532.0,786.0,803.0,908.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,93.0,91.0,95.0,90.0]","[-165.0,-3.0,251.0,268.0,373.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[180.0,190.0,194.0,210.0,201.0]"
"510",33200,33200,92.9933450569277,0.356817532754581,3.05993911716111,48.5407911041248,80.6674395200406,50,51552.8527999943,24,5,"[0.35681753275458133,0.35681753275458133,0.35681753275458133,0.35681753275458133,0.35681753275458133]","[92.69,92.55,89.57000000000001,91.52,92.39]","[92.9933450569277,92.9933450569277,92.9933450569277,92.9933450569277,92.9933450569277]","[10.0,10.0,10.0,10.0,10.0]","[3.0599391171611066,3.0599391171611066,3.0599391171611066,3.0599391171611066,3.0599391171611066]","[5.0,5.0,5.0,5.0,5.0]","[80.66743952004065,80.66743952004065,80.66743952004065,80.66743952004065,80.66743952004065]","[224.0,254.0,232.0,247.0,227.0]","[48.54079110412476,48.54079110412476,48.54079110412476,48.54079110412476,48.54079110412476]","[1090560651,1090791408,-1135801371,-1407931850,417370646]","[7119.87359999631,6742.833799996377,8321.66839999664,6913.105799996418,6840.927999996435]","[true,true,true,true,true]","[29.0,36.0,24.0,41.0,25.0]","[52674.39439999393,52561.46399999405,51552.852799994325,51960.00319999408,51967.51519999412]","[1.0,1.0,1.0,1.0,1.0]","[50.0,50.0,50.0,50.0,50.0]","[5135.0,5083.0,4840.0,4972.0,5307.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,90.0,91.0,92.0,88.0]","[4600.0,4548.0,4305.0,4437.0,4772.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[244.0,243.0,241.0,243.0,247.0]"
"586",33200,33200,100,0.503556021810506,7.74468832579102,66.041279259643,40.1954109927102,33.1636625916962,51294.1895999942,10,5,"[0.5035560218105064,0.5035560218105064,0.5035560218105064,0.5035560218105064,0.5035560218105064]","[90.33,90.56,90.99000000000001,90.11,90.06]","[100.0,100.0,100.0,100.0,100.0]","[10.0,10.0,10.0,10.0,10.0]","[7.744688325791017,7.744688325791017,7.744688325791017,7.744688325791017,7.744688325791017]","[5.0,5.0,5.0,5.0,5.0]","[40.19541099271021,40.19541099271021,40.19541099271021,40.19541099271021,40.19541099271021]","[102.0,87.0,120.0,90.0,113.0]","[66.04127925964299,66.04127925964299,66.04127925964299,66.04127925964299,66.04127925964299]","[-787634244,1398832623,1478314215,-1682103856,-2038129449]","[6978.710599996288,6770.628199996252,5961.58579999653,7590.688199996308,6185.1929999965]","[true,true,true,true,true]","[10.0,35.0,39.0,27.0,40.0]","[52941.07039999391,52839.40799999393,51326.74159999424,52843.41439999404,51294.18959999423]","[1.0,1.0,1.0,1.0,1.0]","[33.16366259169622,33.16366259169622,33.16366259169622,33.16366259169622,33.16366259169622]","[4384.0,4277.0,4320.0,4240.0,4258.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[93.0,92.0,90.0,91.0,90.0]","[3849.0,3742.0,3785.0,3705.0,3723.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[248.0,246.0,249.0,250.0,248.0]"
"623",33200,33200,62.3330288934778,0.368110706266249,3.02558068975302,32.1981476884651,26.2509881912356,20.3180807954631,41811.791999998,44,5,"[0.3681107062662489,0.3681107062662489,0.3681107062662489,0.3681107062662489,0.3681107062662489]","[26.25,25.05,26.090000000000003,27.67,29.32]","[62.3330288934778,62.3330288934778,62.3330288934778,62.3330288934778,62.3330288934778]","[10.0,10.0,10.0,10.0,10.0]","[3.0255806897530184,3.0255806897530184,3.0255806897530184,3.0255806897530184,3.0255806897530184]","[5.0,5.0,5.0,5.0,5.0]","[26.250988191235646,26.250988191235646,26.250988191235646,26.250988191235646,26.250988191235646]","[371.0,466.0,383.0,387.0,336.0]","[32.19814768846508,32.19814768846508,32.19814768846508,32.19814768846508,32.19814768846508]","[2006719180,2141929731,-129879030,-867337391,-1127190575]","[-1209.244199999368,-1817.0901999993584,-1979.5997999992542,-3205.2451999996338,-1713.8001999993648]","[true,true,true,true,true]","[54.0,56.0,57.0,48.0,44.0]","[44192.094399998285,42909.04479999828,43379.54639999839,41811.791999998044,43369.02959999831]","[1.0,1.0,1.0,1.0,1.0]","[20.318080795463104,20.318080795463104,20.318080795463104,20.318080795463104,20.318080795463104]","[169.0,148.0,152.0,185.0,218.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,90.0,95.0,92.0,94.0]","[-366.0,-387.0,-383.0,-350.0,-317.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[12.0,5.0,2.0,18.0,1.0]"
"665",33200,33200,68.2897725335231,0.654245844987299,1.35559553046248,36.3715405687337,100,5,46443.190399997,42,5,"[0.6542458449872985,0.6542458449872985,0.6542458449872985,0.6542458449872985,0.6542458449872985]","[47.29,52.900000000000006,48.44,52.03,47.65]","[68.28977253352315,68.28977253352315,68.28977253352315,68.28977253352315,68.28977253352315]","[10.0,10.0,10.0,10.0,10.0]","[1.3555955304624834,1.3555955304624834,1.3555955304624834,1.3555955304624834,1.3555955304624834]","[5.0,5.0,5.0,5.0,5.0]","[100.0,100.0,100.0,100.0,100.0]","[349.0,299.0,309.0,304.0,316.0]","[36.37154056873374,36.37154056873374,36.37154056873374,36.37154056873374,36.37154056873374]","[-133132912,430889205,1961235892,-597361426,-69208587]","[1329.0605999996478,1111.0873999992327,1717.3683999996429,2448.5989999995945,1933.3383999995785]","[true,true,true,true,true]","[43.0,42.0,49.0,48.0,47.0]","[46532.83359999738,46443.190399996965,46656.2807999974,47327.3527999971,46727.14399999728]","[1.0,1.0,1.0,1.0,1.0]","[5.0,5.0,5.0,5.0,5.0]","[613.0,783.0,663.0,746.0,607.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[89.0,94.0,90.0,93.0,90.0]","[78.0,248.0,128.0,211.0,72.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[221.0,216.0,222.0,222.0,211.0]"
"716",33200,33200,95.3051606743289,0.337671562238292,4.47184276019986,56.1023012607899,58.1859023796892,30.4266323694847,49319.785599995,25,5,"[0.33767156223829226,0.33767156223829226,0.33767156223829226,0.33767156223829226,0.33767156223829226]","[84.91,84.31,82.44,83.62,74.2]","[95.3051606743289,95.3051606743289,95.3051606743289,95.3051606743289,95.3051606743289]","[10.0,10.0,10.0,10.0,10.0]","[4.471842760199863,4.471842760199863,4.471842760199863,4.471842760199863,4.471842760199863]","[5.0,5.0,5.0,5.0,5.0]","[58.1859023796892,58.1859023796892,58.1859023796892,58.1859023796892,58.1859023796892]","[249.0,209.0,209.0,202.0,609.0]","[56.102301260789886,56.102301260789886,56.102301260789886,56.102301260789886,56.102301260789886]","[-1805201694,2024967386,727084918,-1900109495,1102886865]","[4155.074999997174,7686.653999996583,7566.900199996744,6853.635799996846,6218.183199997613]","[true,true,true,true,true]","[25.0,34.0,32.0,38.0,27.0]","[49319.78559999495,52740.4999999943,52409.22079999454,51897.15279999457,51735.143999995315]","[1.0,1.0,1.0,1.0,1.0]","[30.426632369484672,30.426632369484672,30.426632369484672,30.426632369484672,30.426632369484672]","[3271.0,3293.0,3197.0,3461.0,1842.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[93.0,91.0,90.0,91.0,95.0]","[2736.0,2758.0,2662.0,2926.0,1307.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[241.0,241.0,243.0,246.0,181.0]"
"747",33200,33200,42.8491011084698,0.361346996107516,2.89094888779431,83.4360045539192,16.7962382143705,42.8869814663761,41533.0967999982,43,5,"[0.36134699610751564,0.36134699610751564,0.36134699610751564,0.36134699610751564,0.36134699610751564]","[29.24,21.01,28.749999999999996,23.169999999999998,29.549999999999997]","[42.84910110846977,42.84910110846977,42.84910110846977,42.84910110846977,42.84910110846977]","[10.0,10.0,10.0,10.0,10.0]","[2.89094888779431,2.89094888779431,2.89094888779431,2.89094888779431,2.89094888779431]","[5.0,5.0,5.0,5.0,5.0]","[16.796238214370455,16.796238214370455,16.796238214370455,16.796238214370455,16.796238214370455]","[400.0,286.0,381.0,333.0,450.0]","[83.43600455391925,83.43600455391925,83.43600455391925,83.43600455391925,83.43600455391925]","[1398700706,-1004954981,1405320335,1681484468,-1122287092]","[-1221.3885999993363,-3119.1075999993773,-1149.9619999993593,-1803.0677999992768,-2294.1021999996883]","[true,true,true,true,true]","[43.0,57.0,51.0,54.0,47.0]","[43654.23519999821,41533.09679999824,44180.325599998265,43330.21759999832,43295.66239999802]","[1.0,1.0,1.0,1.0,1.0]","[42.88698146637614,42.88698146637614,42.88698146637614,42.88698146637614,42.88698146637614]","[222.0,106.0,184.0,141.0,203.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[93.0,92.0,88.0,92.0,92.0]","[-313.0,-429.0,-351.0,-394.0,-332.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[17.0,7.0,13.0,13.0,17.0]"
"760",33200,33200,83.3058110261025,0.0910775024371885,2.36192131820852,53.7798403812284,80.3117411566269,17.5054353722849,49033.0775999957,29,5,"[0.09107750243718846,0.09107750243718846,0.09107750243718846,0.09107750243718846,0.09107750243718846]","[70.28,73.91,73.1,74.64,73.57000000000001]","[83.30581102610248,83.30581102610248,83.30581102610248,83.30581102610248,83.30581102610248]","[10.0,10.0,10.0,10.0,10.0]","[2.3619213182085215,2.3619213182085215,2.3619213182085215,2.3619213182085215,2.3619213182085215]","[5.0,5.0,5.0,5.0,5.0]","[80.31174115662692,80.31174115662692,80.31174115662692,80.31174115662692,80.31174115662692]","[427.0,320.0,416.0,374.0,348.0]","[53.7798403812284,53.7798403812284,53.7798403812284,53.7798403812284,53.7798403812284]","[451856533,1752045241,545230546,1841639666,-1812491453]","[4495.305999998083,5098.394399997545,4262.120999997991,4762.607999997599,3708.2361999980785]","[true,true,true,true,true]","[47.0,29.0,46.0,40.0,37.0]","[49954.5495999958,50140.09599999529,49592.4711999957,50338.91359999531,49033.077599995726]","[1.0,1.0,1.0,1.0,1.0]","[17.505435372284882,17.505435372284882,17.505435372284882,17.505435372284882,17.505435372284882]","[1699.0,1933.0,1776.0,1911.0,2006.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[89.0,96.0,92.0,91.0,92.0]","[1164.0,1398.0,1241.0,1376.0,1471.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[210.0,240.0,210.0,240.0,241.0]"
"775",33200,33200,56.1799846194244,0.537703878661763,2.60185140589609,1.57817895607153,93.022677236786,43.5826999332439,42806.6311999981,41,5,"[0.5377038786617631,0.5377038786617631,0.5377038786617631,0.5377038786617631,0.5377038786617631]","[29.509999999999998,30.620000000000005,63.27,68.96,56.230000000000004]","[56.17998461942435,56.17998461942435,56.17998461942435,56.17998461942435,56.17998461942435]","[10.0,10.0,10.0,10.0,10.0]","[2.6018514058960887,2.6018514058960887,2.6018514058960887,2.6018514058960887,2.6018514058960887]","[5.0,5.0,5.0,5.0,5.0]","[93.02267723678595,93.02267723678595,93.02267723678595,93.02267723678595,93.02267723678595]","[783.0,866.0,858.0,923.0,787.0]","[1.5781789560715305,1.5781789560715305,1.5781789560715305,1.5781789560715305,1.5781789560715305]","[-829075385,-1054642086,1502842575,1229603090,1711703350]","[-2152.813999999664,-1447.9379999996163,5228.226799998425,3361.995599998525,3988.8719999991154]","[true,true,true,true,true]","[41.0,47.0,49.0,41.0,45.0]","[42806.63119999807,43015.71519999819,49693.13199999614,48740.86079999602,48796.95039999675]","[1.0,1.0,1.0,1.0,1.0]","[43.582699933243916,43.582699933243916,43.582699933243916,43.582699933243916,43.582699933243916]","[200.0,234.0,1290.0,1461.0,874.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[91.0,92.0,93.0,91.0,93.0]","[-335.0,-301.0,755.0,926.0,339.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[118.0,110.0,181.0,160.0,170.0]"
"787",33200,33200,73.1549397837448,0.182158838974771,5.8045924056092,35.8451215072824,66.4954471186466,21.648340662433,49875.6735999953,33,5,"[0.18215883897477103,0.18215883897477103,0.18215883897477103,0.18215883897477103,0.18215883897477103]","[78.29,78.53,79.95,78.75,82.37]","[73.15493978374481,73.15493978374481,73.15493978374481,73.15493978374481,73.15493978374481]","[10.0,10.0,10.0,10.0,10.0]","[5.804592405609204,5.804592405609204,5.804592405609204,5.804592405609204,5.804592405609204]","[5.0,5.0,5.0,5.0,5.0]","[66.49544711864661,66.49544711864661,66.49544711864661,66.49544711864661,66.49544711864661]","[607.0,537.0,547.0,587.0,537.0]","[35.84512150728243,35.84512150728243,35.84512150728243,35.84512150728243,35.84512150728243]","[-1739357240,-987991805,1480803729,360531019,-497279510]","[4629.520399997593,6237.025799997355,4582.82079999736,5586.486599997501,7066.538399997044]","[true,true,true,true,true]","[45.0,42.0,33.0,34.0,42.0]","[49875.67359999525,51441.424799995046,49929.259199995024,51567.87679999511,52536.67439999465]","[1.0,1.0,1.0,1.0,1.0]","[21.648340662433036,21.648340662433036,21.648340662433036,21.648340662433036,21.648340662433036]","[2121.0,2292.0,2409.0,2255.0,2459.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[90.0,99.0,93.0,94.0,93.0]","[1586.0,1757.0,1874.0,1720.0,1924.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[222.0,228.0,240.0,218.0,240.0]"
"843",33200,33200,85.2735472742423,0.554837429478257,6.88313482932622,48.6604132627171,46.8467473094833,5.04668702711982,46172.5079999969,32,6,"[0.554837429478257,0.554837429478257,0.554837429478257,0.554837429478257,0.554837429478257,0.554837429478257]","[59.440000000000005,61.6,54.02,56.57,61.199999999999996,58.81999999999999]","[85.27354727424229,85.27354727424229,85.27354727424229,85.27354727424229,85.27354727424229,85.27354727424229]","[10.0,10.0,10.0,10.0,10.0,10.0]","[6.883134829326221,6.883134829326221,6.883134829326221,6.883134829326221,6.883134829326221,6.883134829326221]","[5.0,5.0,5.0,5.0,5.0,5.0]","[46.846747309483305,46.846747309483305,46.846747309483305,46.846747309483305,46.846747309483305,46.846747309483305]","[178.0,164.0,237.0,198.0,192.0,214.0]","[48.6604132627171,48.6604132627171,48.6604132627171,48.6604132627171,48.6604132627171,48.6604132627171]","[114848403,-321013499,431320353,1625371628,508867925,741747077]","[2489.0385999990976,2875.9065999988743,664.4989999991449,3272.727999999108,3893.5321999988955,3187.654599998954]","[true,true,true,true,true,true]","[35.0,32.0,42.0,37.0,36.0,48.0]","[47974.13599999668,47970.88079999657,46172.50799999685,47595.53119999682,48723.332799996555,48421.35039999658]","[1.0,1.0,1.0,1.0,1.0,1.0]","[5.046687027119815,5.046687027119815,5.046687027119815,5.046687027119815,5.046687027119815,5.046687027119815]","[1035.0,1090.0,859.0,898.0,1057.0,934.0]","[true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0]","[89.0,95.0,88.0,98.0,90.0,93.0]","[500.0,555.0,324.0,363.0,522.0,399.0]","[false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0]","[243.0,236.0,231.0,230.0,240.0,237.0]"
"847",33200,33200,100,0.377079597403235,3.7977513343153,96.7806952226704,90.6516501722179,37.5567858985117,52136.5351999941,26,9,"[0.37707959740323466,0.37707959740323466,0.37707959740323466,0.37707959740323466,0.37707959740323466,0.37707959740323466,0.37707959740323466,0.37707959740323466,0.37707959740323466]","[91.85,90.89,90.92,92.19000000000001,92.69,91.77,91.19,93.17,92.61]","[100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[3.7977513343152975,3.7977513343152975,3.7977513343152975,3.7977513343152975,3.7977513343152975,3.7977513343152975,3.7977513343152975,3.7977513343152975,3.7977513343152975]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[90.65165017221793,90.65165017221793,90.65165017221793,90.65165017221793,90.65165017221793,90.65165017221793,90.65165017221793,90.65165017221793,90.65165017221793]","[66.0,52.0,81.0,86.0,64.0,69.0,86.0,67.0,80.0]","[96.78069522267036,96.78069522267036,96.78069522267036,96.78069522267036,96.78069522267036,96.78069522267036,96.78069522267036,96.78069522267036,96.78069522267036]","[1111690351,-282954109,1159500324,1156300516,-1366776473,1327118450,-2049118596,-749971234,1245767748]","[6694.631799996583,7774.8573999964065,7197.497599996284,7704.056799996346,7296.5307999963115,7570.9691999963325,7225.166799996405,7803.089999996191,7035.300999996325]","[true,true,true,true,true,true,true,true,true]","[34.0,30.0,41.0,26.0,28.0,29.0,38.0,32.0,37.0]","[52390.44079999403,52389.93999999397,52136.53519999406,53013.93679999387,52620.3079999939,52275.75759999397,53134.87999999412,52905.51359999384,52426.24799999396]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[37.55678589851168,37.55678589851168,37.55678589851168,37.55678589851168,37.55678589851168,37.55678589851168,37.55678589851168,37.55678589851168,37.55678589851168]","[4637.0,4814.0,4701.0,4653.0,4882.0,4620.0,4681.0,4829.0,4772.0]","[true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[89.0,92.0,95.0,95.0,93.0,91.0,95.0,94.0,94.0]","[4102.0,4279.0,4166.0,4118.0,4347.0,4085.0,4146.0,4294.0,4237.0]","[false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0]"
"933",33200,33200,90.3673679651607,0.329883569924003,7.05881865485528,60.2599856476589,35.0772000224784,5,46441.6879999971,36,6,"[0.3298835699240031,0.3298835699240031,0.3298835699240031,0.3298835699240031,0.3298835699240031,0.3298835699240031]","[53.010000000000005,50.77,54.64,51.12,55.02,52.76]","[90.36736796516074,90.36736796516074,90.36736796516074,90.36736796516074,90.36736796516074,90.36736796516074]","[10.0,10.0,10.0,10.0,10.0,10.0]","[7.0588186548552825,7.0588186548552825,7.0588186548552825,7.0588186548552825,7.0588186548552825,7.0588186548552825]","[5.0,5.0,5.0,5.0,5.0,5.0]","[35.07720002247841,35.07720002247841,35.07720002247841,35.07720002247841,35.07720002247841,35.07720002247841]","[174.0,241.0,203.0,211.0,198.0,214.0]","[60.259985647658866,60.259985647658866,60.259985647658866,60.259985647658866,60.259985647658866,60.259985647658866]","[229114691,-819066777,1705485190,-374893049,1022518752,1144313677]","[2759.7209999993356,1686.3813999992635,2437.9569999990417,2254.6015999992524,2374.104999999072,3806.7059999995545]","[true,true,true,true,true,true]","[36.0,51.0,45.0,49.0,37.0,37.0]","[47493.11759999697,46441.68799999708,47275.01919999676,46683.07359999699,47444.28959999681,47889.25039999702]","[1.0,1.0,1.0,1.0,1.0,1.0]","[5.0,5.0,5.0,5.0,5.0,5.0]","[845.0,709.0,828.0,748.0,835.0,745.0]","[true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0]","[91.0,93.0,94.0,92.0,90.0,90.0]","[310.0,174.0,293.0,213.0,300.0,210.0]","[false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0]","[241.0,220.0,242.0,223.0,239.0,225.0]"
